concepto,narrativa
230691006,230691006 tiene código 230691006 230691006 tiene término preferido Penumbra isquémica 230691006 tiene sinónimo penumbra 230691006 tiene sinónimo tejido cerebral salvable 230691006 tiene sinónimo tejido en riesgo 230691006 tiene sinónimo tejido hipoperfundido 230691006 tiene sinónimo tejido viable 230691006 se define como: Tejido cerebral hipoperfundido pero viable rodeando el núcleo del infarto. Objetivo del tratamiento agudo. Identificado por mismatch perfusión-difusión en RM. Progresión temporal a infarto dependiente del tiempo. La reperfusión puede salvarlo. 230691006 pertenece a la terminología snomed 230691006 es de tipo Class 230691006 es de tipo Clinical_Finding
449894001,449894001 tiene código 449894001 449894001 tiene término preferido Recanalización 449894001 tiene sinónimo revascularización 449894001 tiene sinónimo apertura del vaso 449894001 tiene sinónimo reapertura arterial 449894001 tiene sinónimo restauración del flujo sanguíneo 449894001 tiene sinónimo reperfusión 449894001 tiene sinónimo permeabilidad del vaso 449894001 se define como: Apertura del vaso sanguíneo ocluido. Restauración del flujo sanguíneo. Recanalización exitosa o completa. Recanalización parcial. Grado TICI de recanalización. Resultado de trombectomía o trombólisis. 449894001 pertenece a la terminología snomed 449894001 es de tipo Class 449894001 es de tipo Clinical_Finding
77477000,77477000 tiene código 77477000 77477000 tiene término preferido Tomografía computarizada 77477000 tiene sinónimo TC 77477000 tiene sinónimo TAC 77477000 tiene sinónimo escáner cerebral 77477000 tiene sinónimo TC de cráneo 77477000 tiene sinónimo TC sin contraste 77477000 tiene sinónimo TC cerebral 77477000 tiene sinónimo imagen tomográfica 77477000 se define como: Imagen de primera línea para ictus agudo. Distingue rápidamente ictus hemorrágico de isquémico. Identifica cambios isquémicos tempranos. Puntuación ASPECTS cuantifica extensión. TC sin contraste para evaluación inicial. 77477000 pertenece a la terminología snomed 77477000 es de tipo Class 77477000 es de tipo Clinical_Finding
450893003,"450893003 tiene código 450893003 450893003 tiene término preferido Escala de ictus del NIH 450893003 tiene sinónimo NIHSS 450893003 tiene sinónimo National Institutes of Health Stroke Scale 450893003 tiene sinónimo escala de gravedad del ictus 450893003 tiene sinónimo escala clínica de ictus 450893003 tiene sinónimo puntuación NIHSS 450893003 tiene sinónimo evaluación neurológica del ictus 450893003 tiene sinónimo ASPECTS 450893003 tiene sinónimo Alberta Stroke Program Early CT Score 450893003 tiene sinónimo puntuación TC temprana 450893003 tiene sinónimo TICI 450893003 tiene sinónimo Thrombolysis in Cerebral Infarction 450893003 tiene sinónimo grado de recanalización 450893003 tiene sinónimo escala de reperfusión 450893003 se define como: Escala de evaluación neurológica estandarizada para cuantificar la gravedad del ictus. Puntuación de 0-42 puntos. Mayor puntuación indica mayor déficit. NIHSS basal, al ingreso y al alta. Predictor de pronóstico y resultado del ictus. ASPECTS cuantifica cambios isquémicos tempranos en TC. TICI evalúa grado de recanalización. 450893003 pertenece a la terminología snomed 450893003 es de tipo Class 450893003 es de tipo Clinical_Finding"
387467008,387467008 tiene código 387467008 387467008 tiene término preferido Activador tisular del plasminógeno 387467008 tiene sinónimo tPA 387467008 tiene sinónimo alteplasa 387467008 tiene sinónimo rtPA 387467008 tiene sinónimo trombolítico 387467008 tiene sinónimo trombólisis 387467008 tiene sinónimo fibrinolítico 387467008 tiene sinónimo activador de plasminógeno recombinante 387467008 tiene sinónimo tPA intravenoso 387467008 se define como: Agente trombolítico usado en tratamiento del ictus isquémico agudo. Activador tisular del plasminógeno recombinante que convierte plasminógeno en plasmina para disolver coágulos. Administrado intravenosamente dentro de 4.5 horas del inicio del ictus. 387467008 pertenece a la terminología snomed 387467008 es de tipo Class 387467008 es de tipo Clinical_Finding
38341003,38341003 tiene código 38341003 38341003 tiene término preferido Hipertensión arterial 38341003 tiene sinónimo hipertensión 38341003 tiene sinónimo presión arterial alta 38341003 tiene sinónimo HTA 38341003 tiene sinónimo tensión arterial elevada 38341003 tiene sinónimo hipertensión sistólica 38341003 tiene sinónimo hipertensión diastólica 38341003 se define como: Presión arterial elevada por encima de 140/90 mmHg. Principal factor de riesgo modificable para ictus. Causa enfermedad de pequeño vaso y aterosclerosis. Control de presión reduce riesgo de ictus en 40%. Objetivo <120/80 para prevención de ictus. 38341003 pertenece a la terminología snomed 38341003 es de tipo Class 38341003 es de tipo Clinical_Finding
73211009,"73211009 tiene código 73211009 73211009 tiene término preferido Diabetes mellitus 73211009 tiene sinónimo diabetes 73211009 tiene sinónimo DM 73211009 tiene sinónimo hiperglucemia 73211009 tiene sinónimo diabetes tipo 2 73211009 tiene sinónimo diabetes tipo 1 73211009 tiene sinónimo trastorno metabólico 73211009 tiene sinónimo intolerancia a la glucosa 73211009 se define como: Trastorno metabólico con hiperglucemia crónica. Factor de riesgo mayor para ictus. Duplica el riesgo de ictus. Causa aterosclerosis y enfermedad de pequeño vaso. Manejado con control de glucosa, modificación del estilo de vida. 73211009 pertenece a la terminología snomed 73211009 es de tipo Class 73211009 es de tipo Clinical_Finding"
25064002,"25064002 tiene código 25064002 25064002 tiene término preferido Cefalea 25064002 tiene sinónimo dolor de cabeza 25064002 tiene sinónimo cefalalgia 25064002 tiene sinónimo dolor craneal 25064002 tiene sinónimo cefalea severa 25064002 tiene sinónimo cefalea súbita 25064002 tiene sinónimo cefalea intensa 25064002 se define como: Dolor en región de cabeza o cuello superior. Común en ictus hemorrágico. Cefalea severa súbita sugiere hemorragia subaracnoidea. Evaluado por calidad, localización, duración, síntomas asociados. 25064002 pertenece a la terminología snomed 25064002 es de tipo Class 25064002 es de tipo Clinical_Finding"
422587007,422587007 tiene código 422587007 422587007 tiene término preferido Náusea 422587007 tiene sinónimo náuseas 422587007 tiene sinónimo sensación de malestar 422587007 tiene sinónimo ganas de vomitar 422587007 tiene sinónimo mareo nauseoso 422587007 tiene sinónimo síntoma gastrointestinal 422587007 se define como: Sensación de vómito inminente. Puede indicar ictus de circulación posterior. Asociado con vértigo en ictus cerebeloso o del tronco cerebral. Parte del síndrome vestibular. 422587007 pertenece a la terminología snomed 422587007 es de tipo Class 422587007 es de tipo Clinical_Finding
422400008,422400008 tiene código 422400008 422400008 tiene término preferido Vómito 422400008 tiene sinónimo vómitos 422400008 tiene sinónimo emesis 422400008 tiene sinónimo expulsión gástrica 422400008 tiene sinónimo síntoma gastrointestinal 422400008 tiene sinónimo náuseas y vómitos 422400008 se define como: Expulsión forzada del contenido gástrico. Puede indicar ictus de circulación posterior. Asociado con presión intracraneal aumentada. Común en ictus cerebeloso o hemorragia. Síntoma del tronco cerebral. 422400008 pertenece a la terminología snomed 422400008 es de tipo Class 422400008 es de tipo Clinical_Finding
52674009,52674009 tiene código 52674009 52674009 tiene término preferido Isquemia cerebral 52674009 tiene sinónimo isquemia 52674009 tiene sinónimo flujo sanguíneo reducido 52674009 tiene sinónimo hipoperfusión cerebral 52674009 tiene sinónimo isquemia aguda 52674009 tiene sinónimo daño isquémico 52674009 tiene sinónimo tejido isquémico 52674009 se define como: Flujo sanguíneo reducido al cerebro. Isquemia cerebral aguda. Tejido isquémico reversible o irreversible. Daño isquémico. Hipoxia tisular. Deprivación de oxígeno. Hipoperfusión cerebral. 52674009 pertenece a la terminología snomed 52674009 es de tipo Class 52674009 es de tipo Clinical_Finding
432101006,432101006 tiene código 432101006 432101006 tiene término preferido Aneurisma cerebral 432101006 tiene sinónimo aneurisma 432101006 tiene sinónimo aneurisma intracraneal 432101006 tiene sinónimo aneurisma sacular 432101006 tiene sinónimo aneurisma roto 432101006 tiene sinónimo malformación vascular 432101006 tiene sinónimo dilatación arterial 432101006 se define como: Dilatación anormal de arteria cerebral. Aneurisma cerebral intracraneal. Aneurisma sacular o fusiforme. Ruptura de aneurisma causa hemorragia subaracnoidea. Tratamiento incluye clipaje o coiling. Aneurisma del polígono de Willis. 432101006 pertenece a la terminología snomed 432101006 es de tipo Class 432101006 es de tipo Clinical_Finding
21454007,21454007 tiene código 21454007 21454007 tiene término preferido Hemorragia subaracnoidea 21454007 tiene sinónimo HSA 21454007 tiene sinónimo sangrado subaracnoideo 21454007 tiene sinónimo hemorragia en espacio subaracnoideo 21454007 tiene sinónimo sangre en LCR 21454007 tiene sinónimo cefalea en trueno 21454007 tiene sinónimo HSA aneurismática 21454007 se define como: Sangrado en espacio subaracnoideo. Usualmente por ruptura de aneurisma. Cefalea severa súbita en trueno. Alta mortalidad y morbilidad. TC muestra sangre en cisternas basales. Angiografía para detección de aneurisma. 21454007 pertenece a la terminología snomed 21454007 es de tipo Class 21454007 es de tipo Clinical_Finding
266257000,266257000 tiene código 266257000 266257000 tiene término preferido Ataque isquémico transitorio 266257000 tiene sinónimo AIT 266257000 tiene sinónimo mini-ictus 266257000 tiene sinónimo ictus temporal 266257000 tiene sinónimo déficit neurológico transitorio 266257000 tiene sinónimo isquemia cerebral transitoria 266257000 se define como: Interrupción temporal del flujo sanguíneo al cerebro causando síntomas similares al ictus que duran menos de 24 horas. Señal de advertencia para ictus futuro. Sin daño cerebral permanente. Factor de riesgo para ictus mayor. 266257000 pertenece a la terminología snomed 266257000 es de tipo Class 266257000 es de tipo Clinical_Finding
49436004,49436004 tiene código 49436004 49436004 tiene término preferido Fibrilación auricular 49436004 tiene sinónimo FA 49436004 tiene sinónimo fibrilación atrial 49436004 tiene sinónimo arritmia auricular 49436004 tiene sinónimo ritmo cardíaco irregular 49436004 tiene sinónimo arritmia cardíaca 49436004 tiene sinónimo fuente cardioembólica 49436004 se define como: Ritmo cardíaco irregular rápido. Factor de riesgo cardioembólico mayor para ictus. Aumenta riesgo de ictus 5 veces. Causa estasis y formación de trombo en aurícula izquierda. Manejado con anticoagulación. 49436004 pertenece a la terminología snomed 49436004 es de tipo Class 49436004 es de tipo Clinical_Finding
415582006,415582006 tiene código 415582006 415582006 tiene término preferido Estenosis arterial 415582006 tiene sinónimo estenosis 415582006 tiene sinónimo estrechamiento arterial 415582006 tiene sinónimo estrechamiento del vaso 415582006 tiene sinónimo estenosis carotídea 415582006 tiene sinónimo estenosis vertebral 415582006 tiene sinónimo estenosis intracraneal 415582006 tiene sinónimo placa aterosclerótica 415582006 se define como: Estrechamiento de arteria. Estenosis de vaso. Estrechamiento del lumen. Estenosis carotídea o vertebral. Estenosis intracraneal o extracraneal. Estenosis aterosclerótica. Placa estenótica. Estenosis limitante del flujo. Estenosis hemodinámicamente significativa. 415582006 pertenece a la terminología snomed 415582006 es de tipo Class 415582006 es de tipo Clinical_Finding
67889009,"67889009 tiene código 67889009 67889009 tiene término preferido Ictus isquémico 67889009 tiene sinónimo accidente cerebrovascular isquémico 67889009 tiene sinónimo ACV isquémico 67889009 tiene sinónimo ictus trombótico 67889009 tiene sinónimo ictus embólico 67889009 tiene sinónimo infarto cerebral isquémico 67889009 se define como: Ictus causado por oclusión arterial bloqueando flujo sanguíneo al cerebro. 87% de todos los ictus. Origen trombótico o embólico. Tratado con trombólisis o trombectomía. Factores de riesgo incluyen hipertensión, diabetes, fibrilación auricular. 67889009 pertenece a la terminología snomed 67889009 es de tipo Class 67889009 es de tipo Clinical_Finding"
69449002,"69449002 tiene código 69449002 69449002 tiene término preferido Hemorragia cerebral 69449002 tiene sinónimo hemorragia intracerebral 69449002 tiene sinónimo HIC 69449002 tiene sinónimo sangrado cerebral 69449002 tiene sinónimo ictus hemorrágico 69449002 tiene sinónimo hematoma cerebral 69449002 tiene sinónimo hemorragia parenquimatosa 69449002 se define como: Sangrado en parénquima cerebral. 13% de todos los ictus. Mayor mortalidad que ictus isquémico. Causado por hipertensión, angiopatía amiloide, anticoagulación. Contraindicación para trombólisis. Evacuación quirúrgica considerada para hematomas grandes. 69449002 pertenece a la terminología snomed 69449002 es de tipo Class 69449002 es de tipo Clinical_Finding"
86547008,"86547008 tiene código 86547008 86547008 tiene término preferido Arteria carótida interna 86547008 tiene sinónimo ACI 86547008 tiene sinónimo carótida interna 86547008 tiene sinónimo carótida extracraneal 86547008 tiene sinónimo carótida intracraneal 86547008 tiene sinónimo bifurcación carotídea 86547008 tiene sinónimo estenosis carotídea 86547008 se define como: Principal arteria que irriga el cerebro. Carótida interna extracraneal e intracraneal. Bifurcación carotídea. Estenosis u oclusión carotídea. Aterosclerosis carotídea. Placa carotídea. Territorio carotídeo. Circulación anterior. Segmentos petro, cavernoso, supraclinoideo. 86547008 pertenece a la terminología snomed 86547008 es de tipo Class 86547008 es de tipo Clinical_Finding"
87486003,87486003 tiene código 87486003 87486003 tiene término preferido Afasia 87486003 tiene sinónimo trastorno del lenguaje 87486003 tiene sinónimo disfasia 87486003 tiene sinónimo alteración del lenguaje 87486003 tiene sinónimo afasia de Broca 87486003 tiene sinónimo afasia de Wernicke 87486003 tiene sinónimo afasia expresiva 87486003 tiene sinónimo afasia receptiva 87486003 se define como: Alteración de la comprensión o producción del lenguaje. Resultado de lesión del hemisferio dominante. Afasia de Broca: déficit expresivo. Afasia de Wernicke: déficit receptivo. Evaluación del lenguaje del NIHSS. 87486003 pertenece a la terminología snomed 87486003 es de tipo Class 87486003 es de tipo Clinical_Finding
113091000,113091000 tiene código 113091000 113091000 tiene término preferido Resonancia magnética 113091000 tiene sinónimo RM 113091000 tiene sinónimo IRM 113091000 tiene sinónimo imagen por resonancia magnética 113091000 tiene sinónimo escáner de RM 113091000 tiene sinónimo secuencias de RM 113091000 tiene sinónimo difusión por RM 113091000 tiene sinónimo perfusión por RM 113091000 se define como: Imagen avanzada usando campos magnéticos y ondas de radio. Contraste superior de tejido blando. Detecta infarto agudo con imagen ponderada en difusión. Identifica penumbra con imagen de perfusión. Sin radiación ionizante. 113091000 pertenece a la terminología snomed 113091000 es de tipo Class 113091000 es de tipo Clinical_Finding
20262006,"20262006 tiene código 20262006 20262006 tiene término preferido Ataxia 20262006 tiene sinónimo incoordinación 20262006 tiene sinónimo pérdida de coordinación 20262006 tiene sinónimo ataxia de la marcha 20262006 tiene sinónimo ataxia de extremidades 20262006 tiene sinónimo ataxia truncal 20262006 tiene sinónimo disfunción cerebelosa 20262006 se define como: Coordinación y equilibrio alterados. Indica ictus cerebeloso. Ataxia de marcha, extremidades, truncal. Prueba cerebelosa del NIHSS. Puede causar caídas. 20262006 pertenece a la terminología snomed 20262006 es de tipo Class 20262006 es de tipo Clinical_Finding"
19601002,19601002 es una subclase de 30441000 19601002 tiene término preferido estructura de la piel de la cara lateral del pulgar (estructura corporal) 19601002 tiene sinónimo piel de la superficie lateral del pollex 19601002 es de tipo Class 19601002 tiene sinónimo estructura de la piel de la cara lateral del pulgar (estructura corporal) 19601002 tiene sinónimo piel de la superficie lateral del primer dedo de la mano 19601002 es una subclase de 281646005 19601002 tiene código 19601002 19601002 pertenece a la terminología snomed 19601002 tiene sinónimo estructura de la piel de la cara lateral del pulgar 19601002 es de tipo Estructura_corporal 19601002 tiene sinónimo piel de la cara lateral del dedo pulgar
731443002,731443002 tiene término preferido pericráneo [como un todo] (estructura corporal) 731443002 es una subclase de 450430009 731443002 tiene sinónimo pericráneo [como un todo] 731443002 es de tipo Class 731443002 tiene sinónimo pericráneo [como un todo] (estructura corporal) 731443002 pertenece a la terminología snomed 731443002 tiene código 731443002 731443002 es de tipo Estructura_corporal
789702002,789702002 tiene sinónimo cóndilo occipital [como un todo] 789702002 tiene término preferido cóndilo occipital [como un todo] (estructura corporal) 789702002 tiene código 789702002 789702002 es de tipo Estructura_corporal 789702002 es una subclase de 789699009 789702002 pertenece a la terminología snomed 789702002 tiene sinónimo cóndilo occipital [como un todo] (estructura corporal) 789702002 es de tipo Class
56693008,56693008 es de tipo Class 56693008 tiene sinónimo sistema linfático superficial del miembro inferior 56693008 tiene sinónimo linfáticos superficiales de la extremidad inferior 56693008 es una subclase de 330217002 56693008 tiene término preferido estructura de vaso linfático superficial de la extremidad inferior (estructura corporal) 56693008 tiene código 56693008 56693008 es de tipo Estructura_corporal 56693008 tiene sinónimo sistema linfático superficial de la extremidad inferior 56693008 tiene término preferido estructura del sistema linfático superficial de la extremidad inferior (estructura corporal) 56693008 pertenece a la terminología snomed 56693008 tiene sinónimo estructura del sistema linfático superficial de la extremidad inferior (estructura corporal) 56693008 tiene sinónimo estructura de vaso linfático superficial de la extremidad inferior (estructura corporal) 56693008 es una subclase de 312510002 56693008 tiene sinónimo estructura del sistema linfático superficial de la extremidad inferior 56693008 tiene sinónimo estructura de vaso linfático superficial de la extremidad inferior
280888007,280888007 es una subclase de 41296002 280888007 tiene término preferido músculo del iris (estructura corporal) 280888007 tiene sinónimo estructura de músculo del iris 280888007 tiene código 280888007 280888007 tiene sinónimo estructura de músculo del iris (estructura corporal) 280888007 tiene sinónimo músculo del iris 280888007 es de tipo Class 280888007 pertenece a la terminología snomed 280888007 es una subclase de 39822001 280888007 tiene término preferido estructura de músculo del iris (estructura corporal) 280888007 tiene sinónimo músculo del iris (estructura corporal) 280888007 es de tipo Estructura_corporal
729075003,729075003 tiene sinónimo divertículo de vesícula seminal [como un todo] 729075003 es de tipo Class 729075003 es una subclase de 279674007 729075003 tiene sinónimo divertículo de vesícula seminal [como un todo] (estructura corporal) 729075003 pertenece a la terminología snomed 729075003 es de tipo Estructura_corporal 729075003 tiene término preferido divertículo de vesícula seminal [como un todo] (estructura corporal) 729075003 tiene código 729075003
263356002,263356002 es de tipo Class 263356002 tiene sinónimo estructura de pared lateral de la vagina (estructura corporal) 263356002 tiene sinónimo estructura de pared lateral de la vagina 263356002 tiene término preferido estructura de pared lateral de la vagina (estructura corporal) 263356002 es de tipo Estructura_corporal 263356002 es una subclase de 263355003 263356002 tiene sinónimo pared lateral de la vagina 263356002 tiene sinónimo pared lateral de la vagina (estructura corporal) 263356002 tiene código 263356002 263356002 pertenece a la terminología snomed 263356002 tiene término preferido pared lateral de la vagina (estructura corporal)
272670002,272670002 es de tipo Class 272670002 tiene código 272670002 272670002 tiene sinónimo estructura de cuadrante de la mama (estructura corporal) 272670002 tiene sinónimo cuadrante de la mama (estructura corporal) 272670002 tiene término preferido cuadrante de la mama (estructura corporal) 272670002 tiene sinónimo cuadrante de la mama 272670002 tiene término preferido estructura de cuadrante de la mama (estructura corporal) 272670002 pertenece a la terminología snomed 272670002 tiene sinónimo estructura de cuadrante de la mama 272670002 es una subclase de 279005008 272670002 es de tipo Estructura_corporal
279841009,279841009 es de tipo Estructura_corporal 279841009 pertenece a la terminología snomed 279841009 tiene término preferido órgano espiral de corti [como un todo] (estructura corporal) 279841009 tiene sinónimo órgano espiral de corti [como un todo] (estructura corporal) 279841009 tiene sinónimo órgano espiral de corti [como un todo] 279841009 tiene código 279841009 279841009 tiene sinónimo órgano espiral de corti 279841009 es de tipo Class 279841009 es una subclase de 67788009
23438002,23438002 tiene sinónimo estructura de la vena femoral profunda (estructura corporal) 23438002 pertenece a la terminología snomed 23438002 tiene sinónimo estructura de la vena femoral profunda 23438002 tiene término preferido estructura de la vena femoral profunda (estructura corporal) 23438002 es una subclase de 119556008 23438002 es una subclase de 423097004 23438002 es de tipo Class 23438002 tiene código 23438002 23438002 tiene sinónimo vena femoral profunda 23438002 es una subclase de 735253006 23438002 es de tipo Estructura_corporal
58159000,58159000 tiene sinónimo músculos intertransversos anteriores del cuello (estructura corporal) 58159000 tiene sinónimo estructura de músculo intertransverso anterior del cuello 58159000 es una subclase de 1187378009 58159000 es de tipo Class 58159000 tiene sinónimo estructura de músculo intertransverso anterior del cuello (estructura corporal) 58159000 tiene término preferido músculos intertransversos anteriores del cuello (estructura corporal) 58159000 tiene término preferido estructura de músculo intertransverso anterior del cuello (estructura corporal) 58159000 tiene código 58159000 58159000 es de tipo Estructura_corporal 58159000 pertenece a la terminología snomed 58159000 tiene sinónimo músculos intertransversos anteriores del cuello 58159000 es una subclase de 90626006
72247002,72247002 es de tipo Class 72247002 tiene sinónimo cara no articular del tubérculo de la undécima costilla [como un todo] (estructura corporal) 72247002 es una subclase de 367953002 72247002 tiene sinónimo cara no articular del tubérculo de la undécima costilla 72247002 tiene sinónimo cara no articular del tubérculo de la undécima costilla [como un todo] 72247002 tiene término preferido cara no articular del tubérculo de la undécima costilla [como un todo] (estructura corporal) 72247002 es de tipo Estructura_corporal 72247002 es una subclase de 367943003 72247002 tiene código 72247002 72247002 pertenece a la terminología snomed
369027002,369027002 tiene sinónimo vía trigeminoespinal de la protuberancia [como un todo] 369027002 tiene sinónimo vía trigeminoespinal de la protuberancia [como un todo] (estructura corporal) 369027002 es de tipo Class 369027002 tiene término preferido vía trigeminoespinal de la protuberancia [como un todo] (estructura corporal) 369027002 tiene sinónimo vía trigeminoespinal de la protuberancia 369027002 es de tipo Estructura_corporal 369027002 tiene código 369027002 369027002 es una subclase de 37641006 369027002 pertenece a la terminología snomed
729481002,729481002 es de tipo Class 729481002 tiene sinónimo zona marginal de conjuntiva palpebral [como un todo] 729481002 es de tipo Estructura_corporal 729481002 tiene código 729481002 729481002 tiene sinónimo zona marginal de conjuntiva palpebral [como un todo] (estructura corporal) 729481002 pertenece a la terminología snomed 729481002 tiene término preferido zona marginal de conjuntiva palpebral [como un todo] (estructura corporal) 729481002 es una subclase de 280669003
22695001,22695001 es de tipo Class 22695001 es una subclase de 52168008 22695001 tiene término preferido leucemia monocítica aleucémica (concepto no activo) 22695001 pertenece a la terminología snomed 22695001 tiene término preferido leucemia monocítica aleucémica (anomalía morfológica) 22695001 tiene código 22695001 22695001 es de tipo Estructura_corporal
